"acquisition-date","administration_name","association-period","association-person","association-person-type","association-subject","association-subject-association","creator","creator-role","csvId","description","description-original","dimensions_concatenated","documentation-free-text","free-field-content","inscription-content","inscription-method","inscription-position","legal_status","material","material-part","object_category","object_name","object_number","postgresId","priref","production-date-end","production-date-start","production-period","production-place","related-object-association","related-object-reference","reproduction-reference","title","identifier/dataset","identifier/num_id","identifier/unique-doc-id","text/all-description-text"
"2019-12-13T00:00:00.000Z","Science and Technology : Technology","","","","","","","","33242","Sound Stories TT Highlights LP Vol 1. The Thrills of the Isle of Man TT Races Commentary by Murray Walker album sleeve","","","","","","","","Permanent collection","","","","Record","T.2019.180.1","33243","811178","","","","","","","","","congruence-science-and-industry","33256","congruence-science-and-industry_33256",". . . . "
"1958-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","Mr Comrie","","1","New lorry wheel made by Mr Comrie, Boghaugh, Comrie","[One of] A pair of lorry wheels, all new; diam. 2' 8"", width of felloe 2.5"".","","","","","","","Permanent collection","","","15. ROAD TRANSPORT, Agricultural | Wheelwrighting and cartmaking, inc. wheels and carts","Wheel, lorry","W.RO 17.2","2","3606","","","","Boghaugh, Comrie, Perthshire, Scotland, Northern Europe","","","","","congruence-science-and-industry","1","congruence-science-and-industry_1","[One of] A pair of lorry wheels, all new; diam. 2' 8"", width of felloe 2.5"".. . . . "
"1967-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","","","2","Barrow for carrying stone","Iron wheel. Barrow for carrying stone.","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Barrow","W.VCA 1","3","6261","","","","","","","","","congruence-science-and-industry","2","congruence-science-and-industry_2","Iron wheel. Barrow for carrying stone.. . . . "
"1967-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","","","3","Barrow with missing heck","Iron wheel. Barrow. The heck is missing.","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Barrow","W.VCA 2","4","6262","","","","","","","","","congruence-science-and-industry","3","congruence-science-and-industry_3","Iron wheel. Barrow. The heck is missing.. . . . "
"1966-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","Dunlop","","4","Tyre lever for a motor-cycle, stamped Dunlop","Tyre lever for a motor cycle, stamped.","","","YT.2014.943, described as a Metal object marked T.1966.780 (not on Adlib), has been resolved and identified as W.VE 9.","DUNLOP MADE IN ENGLAND","","","Permanent collection","","","15. TRANSPORT, Motorcycle","Tyre lever, motorcycle","W.VE 9","5","6265","","","","England, Northern Europe","","","","","congruence-science-and-industry","4","congruence-science-and-industry_4","Tyre lever for a motor cycle, stamped.. . YT.2014.943, described as a Metal object marked T.1966.780 (not on Adlib), has been resolved and identified as W.VE 9.. DUNLOP MADE IN ENGLAND. "
"1980-03-14T00:00:00.000Z","Science and Technology : Technology","","","","","","","","53","Hay cart made at Beechbank","Hay cart made at Beechbank.","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Cart","W.1980.18","54","7875","","","","","","","","","congruence-science-and-industry","56","congruence-science-and-industry_56","Hay cart made at Beechbank.. . . . "
"1962-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Oxnam Neuk Farm, Jedburgh, Roxburghshire, Scotland, Northern Europe | Kettleshiel, Berwickshire, Scotland, Northern Europe","|","","","6","Horse-drawn sleigh said to have come from Kettleshiel and to have been made at Duns about 100 years ago","Wood. A horse-drawn sleigh from Oxnam Neuk Farm, Jedburgh, said to have come from Kettleshiel, and to have been made at Duns c.100 years ago; with two wooden shafts, painted light green.","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - sleds","Sleigh","W.VB 5","7","6399","1899","1879","c. 1889","Duns, Berwickshire, Scotland, Northern Europe","","","","","congruence-science-and-industry","6","congruence-science-and-industry_6","Wood. A horse-drawn sleigh from Oxnam Neuk Farm, Jedburgh, said to have come from Kettleshiel, and to have been made at Duns c.100 years ago; with two wooden shafts, painted light green.. . . . "
"1961-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","","","7","Horse-drawn sledge","Iron. Horse-drawn sledge with iron runners, with red painted shaft and an iron back rail.","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - sleds","Sledge","W.VB 6","8","6400","","","","","","","","","congruence-science-and-industry","7","congruence-science-and-industry_7","Iron. Horse-drawn sledge with iron runners, with red painted shaft and an iron back rail.. . . . "
"2007-06-26T23:00:00.000Z","Science and Technology : Technology","","Shell","institution","","","","","20123","Two gallon Shell Motor Spirit can painted red","Two gallon Shell Motor Spirit can, painted red. Size: 320 mm x 250 mm x 152 mm. ORF: IDENTIFICATION - NMS Object Category: 15. Road Transport. Object Name: Motor spirit can. Description: Two gallon Shell motor spirit can, painted red. PHYSICAL CHARACTERISTICS - Dimensions: H. 320 mm; W. 250 mm. Other Dimensions / Weight: Depth 152 mm. INSCRIPTIONS / MARKS - Inscription Position 1: On front and back; Content: SHELL / MOTOR / SPIRIT. Inscription Position 2: On 2 sides; Content: SHELL. Inscription Position 3: On cap; Content: SHELL. Inscription Position 4: On bottom; Content: LONDON / 29. NOTES and DOCUMENTATION - Supplementary Information?: No. CONDITION - Condition: Poor. Has Conservation Quarantine check been carried out? No. Completed By: Elsa Davidson; Date: 12 June 2007.","Overall: Height 320mm. Overall: Width 250mm. Overall: Depth 152mm","","","SHELL / MOTOR / SPIRIT | SHELL | SHELL | LONOND / 29","|  |  |","On front and back | On two sides | On cap | On bottom","Permanent collection","","","15. ROAD TRANSPORT","Petrol can","T.2007.90","20124","659599","","","","","","","","","congruence-science-and-industry","19725","congruence-science-and-industry_19725","Two gallon Shell Motor Spirit can, painted red. Size: 320 mm x 250 mm x 152 mm. ORF: IDENTIFICATION - NMS Object Category: 15. Road Transport. Object Name: Motor spirit can. Description: Two gallon Shell motor spirit can, painted red. PHYSICAL CHARACTERISTICS - Dimensions: H. 320 mm; W. 250 mm. Other Dimensions / Weight: Depth 152 mm. INSCRIPTIONS / MARKS - Inscription Position 1: On front and back; Content: SHELL / MOTOR / SPIRIT. Inscription Position 2: On 2 sides; Content: SHELL. Inscription Position 3: On cap; Content: SHELL. Inscription Position 4: On bottom; Content: LONDON / 29. NOTES and DOCUMENTATION - Supplementary Information?: No. CONDITION - Condition: Poor. Has Conservation Quarantine check been carried out? No. Completed By: Elsa Davidson; Date: 12 June 2007.. . . SHELL / MOTOR / SPIRIT | SHELL | SHELL | LONOND / 29. "
"1962-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","","","8","Wooden slipe for mowing hay on hillsides","Wood. A wooden 'slipe', made from the natural fork of a tree trunk, with a hole for a rope inside the V. For mowing hay etc.  on hill-sides.","","","","","","","Permanent collection","Wood","Whole","15. TRANSPORT | 14. INDUSTRIES, Agriculture | Transport - sleds","Slipe","W.VB 7","9","6401","","","","","","","","","congruence-science-and-industry","8","congruence-science-and-industry_8","Wood. A wooden 'slipe', made from the natural fork of a tree trunk, with a hole for a rope inside the V. For mowing hay etc.  on hill-sides.. . . . "
